nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
22.0,100.0,13100.0,201.0,158.0,-0.29100000000000004,-0.255,-0.27,1.05,1.1,0.574,3.0,-2.05,-0.469,9.78,8.98,0.275,0.273,3.98,2.9,3.68,0.0,19.8,0.0,-12.0,0.531,6.58,0.8740000000000001,1.09,-5.4,0
20.0,85.4,10600.0,197.0,156.0,-0.174,-0.0542,-0.0723,1.05,1.08,0.589,2.0,0.838,0.542,9.79,9.79,0.27899999999999997,0.27,3.78,1.75,-3.43,18.2,13.2,13.8,1.38,6.38,11.6,0.4320000000000001,1.57,1.91,0
20.0,122.0,12200.0,229.0,187.0,-0.0144,0.00297,-0.00968,0.95,0.929,0.65,4.0,2.85,0.991,0.0,0.0,0.29600000000000004,0.281,3.86,1.93,-5.72,42.2,6.61,23.7,4.19,13.3,17.3,0.46399999999999997,1.57,3.16,0
21.0,97.4,10900.0,203.0,165.0,-0.17,-0.0303,-0.0428,1.08,1.06,0.597,2.0,0.843,0.544,9.84,9.84,0.257,0.247,3.96,2.16,-3.91,11.5,13.2,13.8,-0.499,11.0,14.1,0.302,1.71,2.58,0
11.0,47.7,7340.0,217.0,190.0,-0.0222,0.10800000000000001,0.106,0.963,0.978,0.648,1.0,0.405,0.405,0.0,0.0,0.354,0.331,3.07,1.08,-2.05,13.0,6.54,12.5,4.94,5.48,5.63,0.75,1.27,0.8170000000000001,0
36.0,251.0,19700.0,201.0,171.0,-0.0439,-0.00257,-0.0139,0.867,1.11,0.596,8.0,7.15,1.27,9.36,9.36,0.23,0.223,4.7,2.7,-6.04,67.9,24.6,74.0,4.68,20.5,28.0,0.34700000000000003,1.67,5.22,0
21.0,180.0,14400.0,243.0,205.0,0.00336,0.0884,0.13699999999999998,0.812,0.8320000000000001,0.6809999999999999,5.0,5.03,1.19,0.0,0.0,0.298,0.28300000000000003,3.98,2.07,-7.21,50.1,13.1,35.3,3.34,12.4,23.3,0.523,1.52,5.94,0
10.0,41.0,5780.0,239.0,200.0,-0.40299999999999997,-0.266,-0.332,0.7509999999999999,0.809,0.64,0.0,0.0,0.0,0.0,0.0,0.429,0.401,2.62,1.32,-1.15,24.3,5.73,0.0,0.0,3.3,5.78,0.863,0.955,-0.5589999999999999,0
9.0,58.5,6670.0,283.0,231.0,-0.0835,-0.106,-0.131,0.973,0.654,0.748,0.0,0.0,0.0,0.0,0.0,0.38,0.354,2.98,1.96,-5.74,42.5,10.6,0.0,0.0,5.44,12.8,0.584,1.41,5.29,0
23.0,151.0,13700.0,213.0,200.0,-0.0799,0.0421,0.043,0.853,1.03,0.623,2.0,0.0422,0.191,9.22,9.22,0.29100000000000004,0.28,4.02,1.89,-4.92,30.7,26.1,22.8,0.0,6.26,17.8,0.599,1.39,2.33,0
26.0,207.0,16300.0,221.0,186.0,-0.0308,-0.00799,-0.0243,0.9740000000000001,1.0,0.61,6.0,5.8,1.08,10.5,10.5,0.254,0.244,4.25,2.14,-3.37,49.1,20.2,36.6,3.14,11.3,27.1,0.377,1.73,2.65,0
