0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
32.0,10.0,15.0,197.0,418.0,585.0,620.0,533.0,427.0,355.0,514.0,438.0,351.0,348.0,348.0,93.9,106.0,95.8,82.2,68.8,59.0,5050.0,4950.0,7290.0,10400.0,11500.0,10200.0,8190.0,6850.0,6370.0,12.6,11.4,11.3,9.83,8.55,9.34,4.8,4.88,6.36,27.3,299.0,295.0,246.0,8.49,7.15,7.04,7.0,1350.0,-2.0,-2.22,43.9,13.0,-0.287,-0.263,-0.28800000000000003,-0.282,0.29100000000000004,0.69,0.614,0.703,34.0,16.0,26.0,0.0,0.0,0.0,0.0564,35.5,0.71,1.05,1.03,0.0,0.0,5.0,0.0,47.5,0.0,9.69,9.32,0.303,0.574,0.281,3.48,2.13,-2.49,12.1,0.0,0.0,47.4,0.0,0.0,0.0,2.6,17.0,0.5770000000000001,31.8,1.45,12.6,1.99,0.0328
24.0,11.0,10.0,93.0,322.0,353.0,377.0,344.0,227.0,265.0,306.0,271.0,180.0,261.0,179.0,64.3,68.5,62.3,44.7,27.9,18.2,3880.0,3690.0,6300.0,7020.0,7740.0,7630.0,4850.0,3360.0,3110.0,7.58,7.08,5.93,4.61,3.53,4.12,3.41,3.14,3.04,18.8,263.0,229.0,209.0,7.7,6.3,6.24,6.16,1190.0,-0.297,-0.375,34.6,-0.679,-0.171,-0.125,-0.0929,-0.109,0.0268,1.12,0.9109999999999999,1.02,25.0,15.0,21.0,0.0,0.2,0.2,0.0912,27.0,0.632,1.01,0.9740000000000001,1.0,0.0,1.0,0.0488,9.03,0.0488,9.03,9.03,0.33399999999999996,0.779,0.315,3.05,1.02,-2.63,18.2,7.11,5.56,10.0,1.81,0.0488,1.19,3.62,10.4,0.4370000000000001,20.7,1.59,13.3,1.67,0.036000000000000004
30.0,10.0,15.0,173.0,392.0,534.0,546.0,475.0,375.0,331.0,453.0,389.0,306.0,324.0,302.0,90.8,100.0,88.6,76.8,64.2,52.1,4680.0,4580.0,6980.0,9800.0,10100.0,9150.0,7320.0,5860.0,5050.0,11.3,10.5,10.2,9.12,8.34,7.65,4.31,4.27,5.93,25.6,301.0,287.0,240.0,8.4,6.84,6.97,6.92,1350.0,-1.05,-1.16,41.2,8.23,-0.215,-0.17600000000000002,-0.19,-0.188,0.19,0.6459999999999999,0.682,0.758,32.0,14.0,24.0,0.0,0.0,0.0,0.0648,33.1,0.7090000000000001,1.04,1.01,0.0,0.0,3.0,0.0,28.6,0.0,9.71,9.43,0.297,0.5760000000000001,0.27399999999999997,3.45,2.08,-3.34,0.0,0.0,0.0,28.5,0.0,0.0,0.0,7.48,15.0,0.45799999999999996,31.7,1.58,12.6,2.58,0.032
70.0,24.0,32.0,526.0,958.0,1240.0,1370.0,1410.0,1280.0,806.0,1130.0,1150.0,1050.0,789.0,1040.0,233.0,275.0,273.0,253.0,219.0,199.0,11100.0,10800.0,17500.0,24000.0,26900.0,28000.0,25900.0,22800.0,19600.0,9.98,8.11,9.43,6.89,6.24,6.73,3.3,5.43,4.0,25.7,306.0,282.0,245.0,7.98,6.63,6.59,6.49,3300.0,-0.664,-1.18,120.0,26.2,-0.32799999999999996,0.0802,-0.0678,-0.109,-0.0148,0.636,0.748,1.12,75.0,35.0,53.0,0.0,0.0,0.0,0.147,77.8,0.71,1.03,1.0,0.0,0.0,2.0,0.0,19.4,0.0,9.72,9.72,0.294,0.511,0.273,4.33,2.99,-8.38,47.5,11.5,0.0,18.1,0.0,0.0,0.0,21.5,39.5,0.5720000000000001,68.2,1.48,38.5,8.15,0.0328
33.0,10.0,15.0,218.0,431.0,613.0,665.0,583.0,501.0,366.0,553.0,482.0,414.0,360.0,412.0,95.5,109.0,100.0,87.9,75.6,64.0,5230.0,5130.0,7440.0,10700.0,12200.0,10800.0,9360.0,8080.0,7110.0,13.2,11.9,12.2,11.2,9.26,10.1,5.03,5.05,6.62,29.5,299.0,299.0,252.0,8.63,7.29,7.18,7.15,1350.0,-2.53,-2.81,45.1,15.2,-0.318,-0.304,-0.33299999999999996,-0.326,0.337,0.616,0.579,0.6779999999999999,35.0,17.0,27.0,0.0,0.0,0.0,0.0544,36.8,0.71,1.06,1.04,0.0,0.0,6.0,0.0,57.5,0.0,9.99,9.33,0.304,0.561,0.28300000000000003,3.51,2.21,-2.05,12.1,0.0,0.0,57.2,0.0,0.0,0.0,1.46,14.3,0.629,31.9,1.39,12.6,1.69,0.0329
32.0,10.0,15.0,204.0,418.0,587.0,622.0,540.0,461.0,355.0,516.0,446.0,380.0,348.0,378.0,93.9,106.0,96.1,84.2,72.5,60.6,5050.0,4950.0,7290.0,10400.0,11500.0,10100.0,8650.0,7590.0,6440.0,12.6,11.4,11.5,10.4,8.81,9.34,4.81,4.82,6.14,28.0,299.0,295.0,247.0,8.52,7.15,7.07,7.03,1350.0,-2.0,-2.22,43.9,13.0,-0.28600000000000003,-0.263,-0.28800000000000003,-0.282,0.29100000000000004,0.637,0.614,0.703,34.0,16.0,26.0,0.0,0.0,0.0,0.0576,35.5,0.71,1.05,1.03,0.0,0.0,5.0,0.0,47.9,0.0,9.98,9.29,0.303,0.574,0.281,3.48,2.13,-2.49,18.2,0.0,0.0,47.6,0.0,0.0,0.0,2.6,15.9,0.578,31.8,1.45,12.6,1.99,0.0332
25.0,10.0,12.0,122.0,344.0,425.0,433.0,361.0,244.0,287.0,352.0,287.0,194.0,280.0,192.0,80.0,87.2,79.2,59.5,37.6,20.4,3980.0,3950.0,6680.0,8490.0,9030.0,7810.0,5340.0,4270.0,1670.0,8.4,8.52,7.31,5.44,3.89,4.49,3.31,3.22,2.89,20.2,287.0,259.0,224.0,7.6,6.27,6.17,6.08,1230.0,-0.207,-0.261,40.0,1.73,-0.0823,-0.0994,-0.08,-0.096,0.0832,0.8109999999999999,0.769,0.8220000000000001,27.0,11.0,21.0,0.0,0.0833,0.0833,0.115,27.9,0.6779999999999999,1.0,0.9740000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0.721,0.3,3.13,1.29,-4.13,25.1,0.0,5.69,2.25,1.91,2.01,1.12,3.58,12.3,0.391,25.3,1.69,12.0,2.32,0.031
60.0,24.0,25.0,513.0,857.0,1070.0,1050.0,1300.0,1450.0,710.0,871.0,1070.0,1180.0,702.0,1170.0,150.0,172.0,197.0,223.0,225.0,211.0,9650.0,8940.0,16200.0,19800.0,19400.0,24600.0,28600.0,26200.0,26200.0,11.0,9.74,7.83,6.88,7.53,7.03,3.8,4.4,3.82,22.4,271.0,223.0,216.0,8.13,6.81,6.75,6.66,2780.0,-0.12300000000000001,-0.3720000000000001,80.1,-15.6,-0.0657,-0.0592,-0.0102,-0.0279,-0.163,0.8009999999999999,1.03,1.29,62.0,45.0,51.0,3.0,0.32,0.32,0.0689,67.3,0.6559999999999999,1.04,1.01,1.0,0.0,0.0,0.0805,0.0,0.0805,0.0,0.0,0.255,0.542,0.243,4.4,2.71,-4.47,12.1,0.0,51.8,0.0,-1.72,6.04,4.52,3.94,22.7,0.573,51.5,1.43,38.8,3.0,0.0284
78.0,41.0,30.0,649.0,1120.0,1510.0,1970.0,2140.0,2020.0,907.0,1570.0,1690.0,1600.0,891.0,1580.0,213.0,275.0,309.0,314.0,308.0,297.0,12700.0,11600.0,22600.0,30700.0,41800.0,46500.0,43900.0,46800.0,38400.0,6.21,5.74,4.39,3.39,2.33,4.12,2.86,2.72,2.49,16.4,249.0,202.0,188.0,7.54,6.07,6.01,5.94,3960.0,0.251,0.14400000000000002,104.0,-7.91,-0.0282,-0.007890000000000001,0.0269,0.0146,-0.0521,0.878,1.15,1.29,80.0,65.0,72.0,5.0,0.5670000000000001,0.5670000000000001,0.0827,88.1,0.5920000000000001,0.998,0.9570000000000001,5.0,0.0,0.0,3.39,0.0,1.03,0.0,0.0,0.22,0.532,0.214,4.9,2.94,-7.34,63.0,13.7,67.2,3.68,2.97,12.9,9.73,10.0,24.8,0.35700000000000004,60.6,1.64,49.5,5.65,0.0275
63.0,28.0,28.0,535.0,935.0,1240.0,1430.0,1380.0,1380.0,770.0,1150.0,1120.0,1110.0,757.0,1100.0,187.0,231.0,248.0,242.0,219.0,187.0,10000.0,9550.0,18000.0,23200.0,28700.0,27700.0,27900.0,25600.0,17800.0,8.6,8.33,6.87,5.95,4.78,4.4,3.18,3.2,3.03,21.2,273.0,235.0,224.0,7.75,6.36,6.28,6.19,3170.0,0.265,0.113,85.3,-8.57,-0.0786,-0.0211,0.0284,0.0112,-0.0742,0.871,0.981,1.15,67.0,47.0,57.0,2.0,0.35700000000000004,0.35700000000000004,0.0942,70.3,0.644,1.01,0.978,1.0,2.0,0.0,0.4320000000000001,0.0,0.4320000000000001,0.0,0.0,0.233,0.5820000000000001,0.222,4.59,2.5,-7.39,63.6,7.11,45.7,0.41600000000000004,5.32,9.06,7.21,6.14,25.1,0.38799999999999996,58.3,1.66,38.5,5.3,0.0282
