"SMILES","Ro5","cRo5","DLS_01","DLS_02","DLS_03","DLS_04","DLS_05","DLS_06","DLS_07","DLS_cons","LLS_01","LLS_02","CMC-80","CMC-50","Inflammat-80","Inflammat-50","Depressant-80","Depressant-50","Psychotic-80","Psychotic-50","Hypertens-80","Hypertens-50","Hypnotic-80","Hypnotic-50","Neoplastic-80","Neoplastic-50","Infective-80","Infective-50"
"CNC(=O)C1=NC=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1","0.0","1.0","1.0","0.83","1.0","0.4","0.0","1.0","1.0","0.75","0.33","0.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"OP(O)(O)=O.CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3","0.0","1.0","1.0","1.0","1.0","0.8","0.5","1.0","1.0","0.9","0.67","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0"
"CCN1CCN(CC2=CN=C(NC3=NC=C(F)C(=N3)C3=CC4=C(N=C(C)N4C(C)C)C(F)=C3)C=C2)CC1","0.0","1.0","0.75","0.83","0.83","0.7","0.5","0.83","1.0","0.78","0.17","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC","0.0","1.0","0.75","0.83","0.83","0.5","0.5","0.83","1.0","0.75","0.33","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COC1=C(O)C=C2OC=C(C(=O)C2=C1)C1=CC=C(O)C=C1","0.0","1.0","1.0","1.0","1.0","0.4","0.0","1.0","1.0","0.77","0.67","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0"
"[Na].OC(CC1=CC(O)=C(O)C=C1)C(O)=O","0.0","1.0","1.0","0.83","0.83","0.8","0.5","1.0","1.0","0.85","0.5","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"OC[C@H]1O[C@@H](OC2=CC=C(CO)C=C2)[C@H](O)[C@@H](O)[C@@H]1O","0.0","1.0","1.0","1.0","1.0","0.9","1.0","1.0","1.0","0.99","0.33","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"CCCC=C1OC(=O)C2=C1CC[C@@H](O)[C@@H]2O","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.67","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0"
"C[C@@H]1C(=O)O[C@H]2C[C@]34[C@H]5CC(C(C)(C)C)C33[C@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]12O","0.0","1.0","1.0","0.67","1.0","1.0","1.0","1.0","1.0","0.95","0.5","0.88","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0"
"C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCC3=CC(O)=C(O)C=C3)O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@H]2OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O","1.0","0.0","0.25","0.17","0.33","0.6","1.0","0.17","0.0","0.36","0.17","0.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
