nH,ATS5p,ATS2i,AATS2v,AATS3v,MATS1s,MATS1pe,MATS1are,GATS2dv,GATS1v,Mv,NssCH2,SssCH2,MAXssCH2,MAXsOH,MINsOH,SIC0,BIC0,CIC0,CIC1,FilterItLogS,PEOE_VSA7,SMR_VSA6,SlogP_VSA5,VSA_EState7,MDEC-22,MDEC-23,AMID_h,AMID_C,SLogP,score
22.0,139.0,12800.0,207.0,205.0,-0.0313,0.129,0.131,0.956,1.08,0.618,3.0,1.98,0.6759999999999999,0.0,0.0,0.285,0.273,3.97,2.25,-5.63,30.7,27.9,11.1,0.6459999999999999,9.5,14.7,0.527,1.47,2.95,0
22.0,151.0,13800.0,234.0,193.0,-0.0223,0.0442,0.0428,0.7979999999999999,0.914,0.652,5.0,2.58,0.833,0.0,0.0,0.267,0.252,4.14,2.42,-6.86,36.8,12.0,29.8,2.2,22.0,25.3,0.354,1.72,5.58,0
28.0,157.0,15900.0,202.0,163.0,-0.0352,0.0247,0.0224,0.693,1.08,0.593,6.0,7.11,1.31,0.0,0.0,0.257,0.248,4.28,2.42,-3.74,30.7,0.0,56.4,6.28,13.0,16.8,0.445,1.58,2.86,0
31.0,167.0,18400.0,210.0,161.0,0.0364,0.11800000000000001,0.12300000000000001,0.809,1.07,0.593,10.0,12.1,1.39,0.0,0.0,0.228,0.22,4.52,2.96,-5.5,68.8,0.0,75.2,11.2,18.0,23.6,0.304,1.79,4.93,0
31.0,179.0,18700.0,213.0,164.0,0.0079,0.0221,0.0115,0.9159999999999999,1.06,0.598,11.0,10.7,1.38,0.0,0.0,0.235,0.22699999999999998,4.5,2.9,-6.01,81.6,6.67,68.1,12.1,23.4,26.3,0.28,1.82,5.48,0
19.0,150.0,11700.0,242.0,204.0,-0.0145,0.0188,0.0145,0.858,0.836,0.6709999999999999,5.0,2.93,0.9159999999999999,0.0,0.0,0.284,0.26899999999999996,3.89,2.22,-6.7,60.1,6.67,35.2,4.33,19.9,22.1,0.314,1.73,5.62,0
24.0,167.0,15000.0,235.0,187.0,0.0277,0.0626,0.0478,0.7170000000000001,0.927,0.65,6.0,7.48,1.35,0.0,0.0,0.242,0.228,4.34,2.47,-6.08,43.0,0.0,42.5,10.2,25.0,30.6,0.282,1.82,5.99,0
28.0,170.0,15500.0,209.0,182.0,-0.0685,-0.0102,-0.0159,1.01,1.1,0.593,4.0,1.07,0.6779999999999999,9.4,9.4,0.24600000000000002,0.239,4.32,2.49,-5.11,29.7,6.67,50.9,2.16,10.7,15.6,0.299,1.7,4.62,0
27.0,194.0,14500.0,191.0,162.0,0.161,0.12300000000000001,0.113,1.22,1.19,0.57,10.0,13.6,1.41,0.0,0.0,0.221,0.215,4.33,3.11,-4.3,56.5,20.2,56.9,11.0,26.4,8.73,0.207,1.85,4.34,0
25.0,142.0,12700.0,184.0,151.0,-0.00477,0.0616,0.0507,1.32,1.21,0.564,8.0,9.11,1.38,0.0,0.0,0.228,0.223,4.19,2.73,-4.7,25.3,19.8,44.6,6.54,21.7,5.27,0.221,1.8,3.47,0
