,Unnamed: 0,nDB,nS,DBI,SIC4,VE1sign_Dz(e),AVS_B(e),MATS8m,MATS6v,MATS6e,MATS7e,MATS7s,GATS5m,GATS2v,GATS2s,SM12_AEA(ed),Eig01_AEA(dm),TDB07u,TDB10u,TDB06v,TDB04e,TDB06s,TDB06r,RDF120i,Mor17u,Mor09m,Mor26m,Mor07e,Mor14e,Mor11p,Mor17p,Mor12i,Mor16s,G3e,E3p,L2i,G3i,E1i,De,HATS3u,HATS4u,HATS4m,HATS7m,HATS2v,H8i,HATS3i,HATS4i,HATS7s,R3m+,R4m+,R7m+,R3p+,R3s+,nCp,C-001,CATS2D_01_LL,B01[C-O],B05[C-S],F01[C-O],F08[N-N],score
21,21,4.0,0.0,4.06,0.89,0.035,3.47,-0.072,-0.01,0.078,0.0,-0.038,0.85,0.954,0.414,24.9,3.73,5.99,9.51,1.87,3.69,13.2,2.46,10.9,-2.07,-0.917,-0.198,3.69,3.16,-0.01,-0.523,-2.95,3.42,0.182,0.2339999999999999,4.05,0.1669999999999999,0.4,0.389,0.253,0.33,0.054,0.092,0.081,1.3,0.324,0.433,1.32,0.031,0.021,0.023,0.019,0.3279999999999999,4.0,4.0,17.0,1.0,0.0,6.0,0.0,2
22,22,3.0,0.0,4.0,0.947,0.043,3.56,0.037,0.0289999999999999,-0.268,0.121,0.051,0.835,1.08,0.5579999999999999,22.7,3.83,6.7,9.04,2.61,4.17,30.1,3.33,10.3,-0.418,-1.33,-0.1159999999999999,4.36,0.045,0.562,-0.013,-1.81,1.43,0.1689999999999999,0.2689999999999999,4.64,0.1689999999999999,0.584,0.4579999999999999,0.355,0.44,0.094,0.147,0.113,0.283,0.455,0.594,2.43,0.08,0.025,0.03,0.022,1.62,0.0,0.0,9.0,1.0,0.0,9.0,0.0,1
23,23,0.0,0.0,3.61,0.843,0.233,3.57,-0.016,0.09,-0.1,-0.062,-0.067,0.846,0.905,0.733,25.5,3.88,6.71,9.45,2.05,3.68,11.3,2.65,6.01,-2.01,-0.929,-0.282,2.54,2.19,0.508,-0.831,-3.09,-0.281,0.173,0.257,3.48,0.181,0.5529999999999999,0.467,0.327,0.489,0.067,0.077,0.0819999999999999,0.919,0.411,0.643,0.821,0.022,0.016,0.011,0.018,0.203,3.0,3.0,20.0,1.0,0.0,1.0,0.0,1
24,24,6.0,0.0,5.05,0.907,0.389,3.45,-0.076,-0.009,-0.057,0.019,0.031,1.04,0.989,0.919,25.7,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,17.0,1.0,0.0,25.0,0.0,1
25,25,1.0,0.0,4.12,0.857,0.152,3.41,0.043,0.038,-0.052,0.008,0.02,1.27,1.02,1.02,24.6,3.75,6.15,8.99,1.51,3.52,8.32,2.06,11.4,-2.85,0.288,-0.175,6.14,3.61,0.062,-1.16,-4.5,-1.49,0.179,0.291,3.92,0.186,0.472,0.4539999999999999,0.346,0.4029999999999999,0.049,0.051,0.078,1.54,0.447,0.544,0.716,0.018,0.011,0.009,0.018,0.072,2.0,2.0,19.0,1.0,0.0,2.0,0.0,0
26,26,1.0,0.0,3.74,0.792,0.32,3.46,-0.074,-0.05,0.043,-0.024,0.006,0.928,1.03,0.488,23.0,3.68,6.45,8.95,2.01,3.79,12.5,2.62,12.6,-1.41,-1.63,-0.264,4.53,2.53,0.129,-0.609,-2.77,1.63,0.177,0.238,3.96,0.1689999999999999,0.513,0.417,0.336,0.295,0.0579999999999999,0.085,0.096,0.836,0.471,0.405,1.04,0.037,0.018,0.018,0.022,0.412,1.0,1.0,12.0,1.0,0.0,1.0,0.0,0
27,27,4.0,0.0,4.12,0.8690000000000001,0.165,3.46,-0.12,0.0,0.017,0.076,0.044,0.909,0.989,0.469,24.9,3.75,6.12,8.74,1.88,3.69,11.7,2.47,22.8,-2.22,-0.784,-0.252,6.48,3.66,-0.382,-0.7609999999999999,-5.26,-1.29,0.148,0.237,7.5,0.174,0.3989999999999999,0.424,0.284,0.301,0.051,0.057,0.086,0.6829999999999999,0.366,0.397,0.584,0.027,0.02,0.013,0.019,0.284,4.0,4.0,19.0,1.0,0.0,6.0,0.0,0
28,28,0.0,0.0,3.46,0.6409999999999999,0.0,3.46,-0.238,-0.354,-0.089,0.003,0.032,1.14,0.627,1.24,24.2,3.6,5.99,7.91,2.25,3.87,14.7,2.91,5.51,-1.54,-0.6859999999999999,-0.175,3.13,1.53,-0.011,-0.2789999999999999,-1.52,-4.62,0.176,0.2019999999999999,6.43,0.18,0.4270000000000001,0.3939999999999999,0.125,0.198,0.069,0.12,0.047,1.59,0.155,0.25,1.32,0.03,0.025,0.015,0.0139999999999999,0.207,2.0,2.0,12.0,1.0,0.0,12.0,0.0,0
29,29,0.0,0.0,2.55,0.908,0.145,3.7,0.066,-0.099,-0.037,0.05,0.047,1.21,0.862,0.922,25.5,4.17,6.3,9.26,1.88,3.94,10.3,2.48,0.0,-1.26,-1.56,-0.155,6.44,0.0819999999999999,-0.001,-0.456,-2.09,-0.831,0.17,0.305,2.82,0.165,0.436,0.3879999999999999,0.363,0.3329999999999999,0.089,0.0969999999999999,0.102,0.1989999999999999,0.477,0.418,1.25,0.021,0.016,0.0139999999999999,0.021,0.084,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0
30,30,4.0,0.0,5.05,0.885,0.015,3.64,0.033,0.03,0.034,-0.0579999999999999,-0.024,1.05,0.831,0.47,24.1,3.88,6.32,8.43,2.56,4.01,20.1,3.19,29.2,-1.17,-3.03,-0.5589999999999999,9.19,-0.146,0.988,-0.314,-3.25,1.56,0.1639999999999999,0.3229999999999999,5.06,0.159,0.5589999999999999,0.5,0.211,0.252,0.064,0.069,0.086,0.818,0.261,0.3289999999999999,0.57,0.023,0.0139999999999999,0.012,0.021,0.212,4.0,4.0,16.0,1.0,0.0,11.0,0.0,0
31,31,2.0,0.0,4.24,0.912,0.161,3.56,0.045,0.01,-0.063,-0.009,-0.04,0.972,0.8420000000000001,0.615,25.6,3.91,6.48,8.31,1.95,3.69,11.5,2.57,28.4,-2.5,-0.471,-0.276,4.73,4.07,-0.174,-1.05,-4.45,-2.56,0.161,0.26,4.62,0.171,0.513,0.406,0.2239999999999999,0.313,0.076,0.0559999999999999,0.073,1.93,0.276,0.3979999999999999,0.672,0.017,0.018,0.01,0.015,0.157,3.0,3.0,26.0,1.0,0.0,7.0,0.0,0
