Uc,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,MLOGP2,ALOGP,ALOGP2,SAtot,SAacc,SAdon,Vx,VvdwMG,VvdwZAZ,PDI,BLTF96,BLTD48,BLTA96,score
5.49,4.81,5.89,218.0,359.0,393.0,0.319,0.102,4.7,22.1,946.0,551.0,308.0,922.0,381.0,673.0,0.974,-1.66,-1.62,-1.55,1
3.81,3.46,4.99,116.0,220.0,220.0,0.16699999999999998,0.028,-1.56,2.42,595.0,336.0,190.0,545.0,227.0,419.0,0.916,-1.53,-1.48,-1.4,1
3.81,3.09,-0.096,49.0,78.9,78.9,1.9,3.6,1.64,2.7,229.0,110.0,42.7,212.0,90.3,150.0,0.926,-3.0,-3.12,-3.13,1
2.32,2.32,-0.484,50.2,34.1,34.1,2.25,5.08,1.88,3.55,231.0,50.3,0.0,213.0,90.5,168.0,0.92,-3.31,-3.46,-3.48,1
4.86,4.09,7.38,204.0,348.0,348.0,-2.11,4.43,0.308,0.095,1110.0,657.0,512.0,937.0,388.0,726.0,0.8420000000000001,0.4,0.68,0.88,1
3.81,3.0,0.331,77.7,76.0,76.0,2.09,4.37,3.02,9.09,400.0,133.0,85.4,355.0,149.0,264.0,0.887,-3.17,-3.31,-3.32,1
2.81,2.0,0.743,35.9,49.7,49.7,0.679,0.46,1.28,1.63,212.0,96.4,85.4,172.0,73.7,125.0,0.8109999999999999,-1.97,-1.96,-1.91,1
3.59,2.7,-0.127,56.9,33.1,33.1,3.38,11.4,3.25,10.5,247.0,59.5,42.7,241.0,102.0,163.0,0.978,-4.26,-4.53,-4.61,1
2.0,2.0,2.0,176.0,146.0,146.0,2.13,4.55,3.31,10.9,1050.0,272.0,213.0,860.0,356.0,658.0,0.8170000000000001,-3.2,-3.35,-3.36,0
0.0,0.0,-0.541,124.0,20.2,20.2,6.74,45.4,7.88,62.1,700.0,42.7,42.7,611.0,254.0,452.0,0.872,-7.12,-7.72,-7.97,0
1.59,1.59,1.29,174.0,118.0,118.0,2.97,8.82,3.78,14.3,1010.0,215.0,171.0,840.0,347.0,640.0,0.8340000000000001,-3.91,-4.14,-4.2,0
1.59,1.59,1.41,137.0,98.0,98.0,4.37,19.1,4.35,18.9,809.0,196.0,171.0,664.0,276.0,504.0,0.821,-5.11,-5.47,-5.6,0
3.81,3.0,0.908,102.0,96.2,96.2,1.97,3.89,3.31,11.0,559.0,175.0,128.0,482.0,201.0,360.0,0.862,-3.07,-3.19,-3.2,0
1.59,1.59,1.34,157.0,118.0,118.0,3.24,10.5,4.98,24.8,918.0,220.0,171.0,769.0,319.0,588.0,0.838,-4.15,-4.4,-4.47,0
3.0,2.32,2.38,46.9,98.0,98.0,0.187,0.035,0.71,0.504,302.0,196.0,171.0,231.0,98.0,174.0,0.765,-1.55,-1.5,-1.42,0
1.59,1.59,3.54,82.7,166.0,166.0,-1.57,2.48,-2.33,5.44,554.0,314.0,256.0,422.0,176.0,331.0,0.7609999999999999,-0.05,0.18,0.34,0
2.0,2.0,3.54,83.7,166.0,166.0,-1.67,2.79,-2.5,6.26,534.0,314.0,256.0,414.0,173.0,328.0,0.7759999999999999,0.03,0.27,0.44,0
1.0,1.0,0.022,133.0,40.5,40.5,6.1,37.2,6.31,39.8,748.0,85.4,85.4,642.0,267.0,481.0,0.8590000000000001,-6.57,-7.11,-7.33,0
3.0,2.32,0.259,88.9,58.6,58.6,2.97,8.8,4.33,18.7,502.0,96.8,60.7,439.0,183.0,324.0,0.873,-3.91,-4.14,-4.2,0
4.17,3.59,4.19,109.0,213.0,213.0,0.16699999999999998,0.028,0.006999999999999999,0.0,546.0,323.0,172.0,505.0,210.0,379.0,0.925,-1.53,-1.48,-1.4,0
3.32,2.81,-0.818,72.3,39.4,39.4,3.28,10.8,3.74,14.0,341.0,47.1,0.0,319.0,134.0,243.0,0.936,-4.18,-4.44,-4.51,0
4.25,3.46,-0.354,84.2,50.7,50.7,3.25,10.6,3.36,11.3,307.0,45.1,16.8,344.0,144.0,243.0,1.12,-4.16,-4.41,-4.48,0
1.59,1.59,6.06,43.6,125.0,125.0,-2.93,8.61,-1.11,1.23,276.0,183.0,158.0,230.0,97.6,169.0,0.8340000000000001,1.1,1.47,1.7,0
3.91,3.17,0.331,75.6,79.9,79.9,1.5,2.26,2.32,5.36,355.0,133.0,85.4,330.0,139.0,249.0,0.93,-2.67,-2.75,-2.73,0
1.59,1.59,11.8,300.0,474.0,474.0,-6.2,38.5,-4.02,16.1,1990.0,903.0,768.0,1530.0,630.0,1180.0,0.769,0.0,0.0,0.0,0
3.32,2.81,3.13,118.0,175.0,175.0,-0.845,0.713,-1.58,2.48,718.0,325.0,256.0,572.0,238.0,444.0,0.797,-0.67,-0.52,-0.39,0
3.91,3.17,0.312,89.8,98.4,98.4,0.963,0.928,2.55,6.51,437.0,155.0,85.4,396.0,166.0,301.0,0.907,-2.21,-2.24,-2.19,0
0.0,0.0,0.078,121.0,41.5,41.5,5.23,27.3,4.62,21.3,641.0,71.7,60.7,578.0,240.0,430.0,0.902,-5.83,-6.29,-6.46,0
3.91,3.17,4.97,106.0,224.0,224.0,-1.9,3.6,-0.211,0.044,637.0,425.0,341.0,507.0,211.0,394.0,0.7959999999999999,0.22,0.48,0.67,0
