"SMILES","Uc","Ui","Hy","AMR","TPSA(NO)","TPSA(Tot)","MLOGP","MLOGP2","ALOGP","ALOGP2","SAtot","SAacc","SAdon","Vx","VvdwMG","VvdwZAZ","PDI","BLTF96","BLTD48","BLTA96"
"CC(C)CC(N)C1(CCC1)C1=CC=C(Cl)C=C1","2.81","2.0","0.295","73.9","26.0","26.0","4.03","16.3","4.21","17.7","380.0","32.9","32.9","349.0","146.0","251.0","0.918","-4.82","-5.15","-5.26"
"COCC(C)N(C(=O)CS(O)(=O)=O)C1=C(C)SC=C1C","3.17","2.7","-0.124","78.8","83.9","121.0","0.357","0.128","0.813","0.661","430.0","123.0","39.1","379.0","159.0","277.0","0.882","-1.69","-1.66","-1.59"
"NC1=C(Cl)C(OCC(O)=O)=NC(F)=C1Cl","3.0","2.32","1.57","52.5","85.4","85.4","1.3","1.68","2.04","4.16","274.0","143.0","75.6","241.0","102.0","181.0","0.88","-2.49","-2.55","-2.53"
"OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1","3.81","3.0","-0.37","103.0","40.5","40.5","4.01","16.0","3.89","15.1","500.0","85.9","42.7","465.0","194.0","344.0","0.929","-4.79","-5.13","-5.24"
"COC1=CC=C(C=C1)C1=C(O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)C(=O)C2=C(O1)C(CC=C(C)C)=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=C2O","4.0","3.32","4.41","166.0","238.0","238.0","-1.38","1.9","0.772","0.596","951.0","433.0","341.0","782.0","324.0","604.0","0.823","-0.22","-0.01","0.15"
"CN(C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2","3.7","2.81","-0.891","90.6","6.48","6.48","3.88","15.0","4.39","19.3","405.0","6.25","0.0","399.0","167.0","285.0","0.985","-4.68","-5.0","-5.11"
"NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1","3.7","2.81","2.32","66.6","90.7","90.7","2.79","7.77","2.43","5.89","275.0","116.0","65.8","273.0","115.0","187.0","0.993","-3.76","-3.97","-4.02"
"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","3.81","3.0","1.9","123.0","92.8","92.8","1.77","3.15","4.56","20.8","526.0","154.0","118.0","510.0","212.0","350.0","0.971","-2.9","-3.01","-3.0"
"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O","3.81","3.0","1.91","110.0","92.8","92.8","1.34","1.8","3.98","15.9","488.0","154.0","118.0","467.0","195.0","325.0","0.957","-2.53","-2.59","-2.57"
"CNCCC=C1C2=CC=CC=C2C(C)(C)C2=CC=CC=C12","3.81","3.0","-0.479","91.5","12.0","12.0","4.76","22.7","4.24","18.0","409.0","18.0","18.0","399.0","167.0","288.0","0.975","-5.44","-5.84","-5.99"
"CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1","3.81","3.0","0.32","71.4","49.3","49.3","3.47","12.0","3.96","15.7","339.0","85.8","60.7","319.0","134.0","232.0","0.942","-4.34","-4.62","-4.7"
"CC1=CC=CC(C)=C1N(CN1C=CC=N1)C(=O)C(O)=O","3.81","3.09","-0.222","73.4","75.4","75.4","1.54","2.38","2.16","4.66","369.0","113.0","42.7","339.0","142.0","245.0","0.917","-2.7","-2.79","-2.77"
"CC1=CC=CC(C)=C1N(CN1C=CC=N1)C(=O)CCl","3.7","2.91","-0.724","76.5","38.1","38.1","2.63","6.9","3.15","9.95","366.0","44.9","0.0","347.0","145.0","245.0","0.946","-3.62","-3.81","-3.86"
"CN1N=C(S\C1=N/C(C)=O)S(N)(=O)=O","2.59","2.59","0.895","53.1","107.0","144.0","-0.767","0.589","0.678","0.46","268.0","137.0","31.3","245.0","104.0","182.0","0.914","-0.74","-0.59","-0.46"
"COC(=O)C1=C(C=CC=C1)S(N)(=O)=O","3.32","2.81","0.686","50.9","86.5","94.8","0.514","0.264","0.514","0.264","261.0","112.0","31.3","241.0","102.0","178.0","0.926","-1.83","-1.81","-1.74"
"CC(=O)NC(CC(O)=O)C(O)=O","2.0","2.0","1.72","36.1","104.0","104.0","-0.816","0.666","-1.22","1.5","267.0","179.0","103.0","202.0","86.3","159.0","0.757","-0.7","-0.54","-0.41"
"CNCCC(C1=CC=CC=C1)C1=CC=CC=N1","3.7","2.81","-0.371","70.8","24.9","24.9","2.38","5.65","2.5","6.23","339.0","34.8","18.0","323.0","136.0","228.0","0.955","-3.41","-3.58","-3.61"
"CC(=O)OC[C@H](N)C(O)=O","1.59","1.59","1.88","31.3","89.6","89.6","-2.95","8.68","-1.11","1.23","229.0","137.0","75.6","176.0","75.7","136.0","0.77","1.11","1.48","1.72"
"CNC(=O)CSP(=O)(OC)OC","1.59","1.59","0.159","48.0","64.6","99.7","-0.731","0.535","-0.333","0.111","284.0","77.3","18.0","245.0","104.0","177.0","0.863","-0.77","-0.63","-0.5"
"CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O","2.0","2.0","-0.43","140.0","81.7","81.7","5.44","29.6","8.47","71.8","831.0","115.0","18.0","723.0","300.0","545.0","0.869","-6.01","-6.49","-6.67"
"OC[C@H]1O[C@H](OC[C@H]2OC(O)(CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0.0","0.0","5.73","68.8","190.0","190.0","-3.9","15.2","-4.31","18.6","544.0","374.0","341.0","370.0","155.0","288.0","0.68","1.92","2.38","2.67"
"CC(C)[NH2+]C[C@H](O)COC1=CC=CC2=C1C=CN2","3.46","2.59","1.14","71.5","57.3","57.3","1.31","1.71","1.93","3.71","370.0","71.7","77.5","334.0","140.0","233.0","0.902","-2.5","-2.56","-2.54"
"CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1","3.91","3.17","-0.317","97.5","68.3","93.6","1.83","3.36","4.01","16.1","461.0","96.1","18.0","441.0","184.0","324.0","0.957","-2.95","-3.06","-3.06"
"CC(C)NC[C@H](O)COC1=C2C=CC=CC2=CC=C1","3.59","2.7","0.29","76.8","41.5","41.5","2.53","6.42","2.54","6.45","396.0","71.7","60.7","357.0","150.0","254.0","0.9","-3.54","-3.73","-3.76"
"CC1=NNC(=O)N(C1)\N=C\C1=CN=CC=C1","3.32","2.81","-0.107","59.2","69.9","69.9","0.514","0.265","-0.218","0.048","281.0","96.1","17.9","266.0","112.0","194.0","0.946","-1.83","-1.81","-1.74"
"CCOC1=CC(CC(=O)NC(CC(C)C)C2=C(C=CC=C2)N2CCCCC2)=CC=C1C(O)=O","3.91","3.17","0.132","131.0","78.9","78.9","3.71","13.8","5.28","27.9","663.0","125.0","60.7","611.0","254.0","453.0","0.922","-4.54","-4.84","-4.94"
"CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Cl)C=C1","4.25","3.39","-0.316","123.0","50.2","50.2","5.08","25.8","7.01","49.2","534.0","62.7","17.9","534.0","222.0","382.0","0.999","-5.71","-6.15","-6.31"
"NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1","3.32","2.81","4.59","53.3","122.0","130.0","-0.186","0.034","-0.214","0.046","255.0","158.0","114.0","248.0","105.0","176.0","0.973","-1.23","-1.14","-1.04"
"ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1","3.81","3.0","0.445","76.9","41.1","41.1","3.99","15.9","4.52","20.4","348.0","61.2","36.0","340.0","143.0","245.0","0.978","-4.78","-5.11","-5.22"
"COC1=C(OC)C=C(CNC(=O)C2=C(NC(C)CO)C=CC(=C2)[N+]([O-])=O)C=C1","4.0","3.32","0.988","105.0","126.0","126.0","1.78","3.16","2.13","4.54","534.0","177.0","78.7","478.0","199.0","355.0","0.894","-2.9","-3.01","-3.01"
"COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCC4=C(NC5=CC=CC=C45)[C@@H]3C[C@H]12","3.59","2.81","0.213","99.6","65.6","65.6","2.25","5.08","2.93","8.58","462.0","82.0","59.5","446.0","186.0","323.0","0.965","-3.31","-3.46","-3.48"
