"SMILES","Eta_alpha","Eta_alpha_A","Eta_epsi","Eta_epsi_A","Eta_betaS","Eta_betaS_A","Eta_betaP","Eta_betaP_A","Eta_beta","Eta_beta_A","Eta_C","Eta_C_A","Eta_L","Eta_L_A","Eta_F","Eta_F_A","Eta_FL","Eta_FL_A","Eta_B","Eta_B_A","Eta_sh_p","Eta_sh_y","Eta_sh_x"
"OC(=O)[C@@H](CC1=CC(O)=C(O)C=C1)OC(=O)\C=C\C1=CC(O)=C(O)C=C1","11.7","0.449","29.1","0.694","15.8","0.606","18.5","0.712","34.2","1.32","17.7","0.68","4.93","0.189","29.3","1.13","7.33","0.282","0.829","0.032","0.2","0.386","0.0"
"CC(C)(C)[C@]1(O)CCN2C[C@H]3C4=CC=CC=C4CCC4=C3C(=CC=C4)[C@@H]2C1","13.2","0.49","29.4","0.506","16.5","0.611","12.0","0.444","28.5","1.06","33.5","1.24","8.22","0.304","18.5","0.686","4.66","0.172","0.971","0.036","0.139","0.295","0.076"
"CC[C@H](C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)/[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)\C=C/C=C4CO[C@@H]5[C@H](OC)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)C=C[C@@H]1C","29.2","0.463","77.0","0.562","40.8","0.647","7.5","0.119","48.2","0.766","122.0","1.94","21.4","0.34","53.7","0.853","8.63","0.137","1.98","0.031","0.223","0.377","0.034"
"[Cl-].CC(C)(C[N+](C)(C)CC1=CC=CC=C1)C1OC2CCCCC2C2C=CCCC12","13.7","0.49","32.8","0.482","17.0","0.607","7.0","0.25","24.0","0.857","39.3","1.4","9.73","0.348","14.3","0.512","3.63","0.13","0.901","0.032","0.146","0.218","0.066"
"Cl.CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1","13.6","0.469","33.2","0.572","18.2","0.629","13.5","0.466","31.8","1.1","27.6","0.952","7.7","0.265","24.3","0.837","6.36","0.219","0.609","0.021","0.103","0.279","0.0"
"C[C@H]1CCC(C(CCC(=O)N2CCCCC2)[C@@]1(C)COC1=CC=C2OC(=O)C=CC2=C1)=C(C)C","16.2","0.477","39.0","0.534","20.8","0.61","12.5","0.368","33.2","0.978","45.6","1.34","10.8","0.316","23.8","0.701","5.52","0.162","0.983","0.029","0.164","0.302","0.031"
"COC1=C(OC)C(OC)=C2C(C[C@H](C)[C@H](C)CC3=CC(OC)=C(OC)C(OC)=C23)=C1","14.0","0.467","35.2","0.568","19.0","0.633","15.0","0.5","34.0","1.13","34.7","1.16","7.58","0.253","29.4","0.979","6.87","0.229","0.726","0.024","0.286","0.429","0.0"
"CN1C2=C(C=CC=C2)C2=C1C1(CCCN1CC2)C1=CC=CC=C1","11.3","0.491","23.5","0.522","15.0","0.652","14.0","0.609","29.0","1.26","20.5","0.892","5.93","0.258","18.8","0.817","5.39","0.235","0.523","0.023","0.044","0.292","0.044"
"COC1=CC=C(C=C1)C1=CC(=O)OC2=C1C=CC(OC(=O)[C@H](CC1=CNC3=CC=CC=C13)NC(=O)OC(C)(C)C)=C2C","19.6","0.467","45.2","0.61","26.8","0.637","27.5","0.655","54.2","1.29","42.3","1.01","9.13","0.217","51.2","1.22","10.9","0.259","1.33","0.032","0.178","0.357","0.025"
"COC1=C2OCOC2=CC2=C1C(C#CC1(C)C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@H]4CC[C@]3(C)C1)N(C)CC2","18.7","0.48","43.7","0.533","25.0","0.641","12.5","0.321","37.5","0.962","59.5","1.53","13.0","0.332","26.1","0.67","5.68","0.146","1.38","0.035","0.151","0.315","0.08"
